RM,unit,Branch, December , 12th jan , 19th jan , 26th jan , January , WK1 FEB , WK1 FEB2 , WK1 FEB3 , WK1 FEB4 , WK1 mar 
RM 6,Institutional Banking,Milimani,20951,20969,21210,21210,20592,20520,20394,20502,19888,19976
RM 7,Corporate Sales,Milimani,3989592,4007582,138568,137762,135699,134084,132597,132912,130732,128448
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,2867557,2868659,2882985,2882985,2882985,2878577,2896816,2903428,3650584,5547476
RM 6,Institutional Banking,Milimani,250016770,250016770,250016770,250016770,250016170,250016170,250000000,250016170,250013121,250013121
RM 1,Branch Banking,Milimani,63684030,64762263,65047893,64868469,64271772,83616542,83556903,82803022,80884016,86740973
RM 1,Branch Banking,Milimani,20801544,20701554,20708048,26171170,26043875,28857313,28602689,20732082,21945737,23294859
RM 1,Branch Banking,Milimani,721,2829641,3524641,541,    ,    ,    ,517099,509389,4176389
RM 8,Corporate Sales,Milimani,11976815,11988047,12120265,12196615,12192608,12154948,9990545,10035932,9935929,9973752
RM 7,Corporate Sales,Milimani,126713725,130597287,127682436,129522467,131261698,79736029,35660491,33861376,34748925,34251970
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,181464481,187464481,187464481,187464481,187464481,187464481,194451689,174482062,174482062,174482062
RM 1,Branch Banking,Milimani,174671270,175282993,177490363,182068961,182036472,184410934,183519411,184578854,186144989,187683913
RM 5,Corporate Banking,Milimani,106545874,106104917,110087561,105345687,107433915,107248087,107570782,108884215,108680634,108181497
RM 6,Institutional Banking,Milimani,25989016,25989016,34094109,34094109,26180420,39250378,39250378,39250378,39249778,40122483
RM 6,Institutional Banking,Milimani,114841661,99367562,85895156,88700783,73482588,77181258,86053548,85190849,85515662,65310268
RM 1,Branch Banking,Milimani,4024725,4024725,4024725,4024725,3000000,3000000,3000000,3000000,3000000,3000000
RM 5,Corporate Banking,Milimani,95942536,95977778,95977778,95942536,95942536,96207511,96207511,96207511,96207511,96321293
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 6,Institutional Banking,Milimani,265074290,265157992,265022320,264783036,264813034,265060896,260362096,260408396,260440861,265752341
RM 6,Institutional Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 13,Branch Banking,Industrial Area,100575252,100575252,100575252,100575252,100575252,100575252,100575252,100575252,100575252,100575252
RM 1,Branch Banking,Milimani,657721,753555,753555,753555,752955,848755,848755,848755,848155,943955
RM 5,Corporate Banking,Milimani,3197127,3383610,3390832,3390832,3676439,3601920,3598038,2888397,3121484,2782358
RM 13,Branch Banking,Industrial Area,5930636,5930636,5930636,5930636,5930636,5930636,5930636,5930636,5930636,5930636
RM 5,Corporate Banking,Milimani,52864232,52910973,53518608,53518608,53685407,53497859,53169652,53450973,47869928,48079884
RM 5,Corporate Banking,Milimani,58311082,62986019,66596669,29560776,24535765,32021261,39922108,35616781,38605253,39788185
RM 6,Institutional Banking,Milimani,3959508,4023481,4023481,4023481,4022881,4022881,4022881,4022881,4022281,4022281
RM 6,Institutional Banking,Milimani,91270,91270,91270,91270,90670,90670,90670,90670,90070,90070
RM 5,Corporate Banking,Milimani,15040,15053,15226,15226,14608,14557,14468,14544,13931,13992
RM 6,Institutional Banking,Milimani,209281,64882,2778040,4575313,215919,2259712,3749932,1434812,636783,145174
RM 1,Branch Banking,Milimani,65051817,64833750,64612104,64430393,64535787,64125904,64052527,64012755,63770286,149870362
RM 1,Branch Banking,Milimani,74131479,74131702,74134606,74134606,74133987,76349057,76347498,76348834,73882621,73883732
RM 5,Corporate Banking,Milimani,9262,9262,9262,9262,9262,9262,9262,9262,3196,3196
RM 1,Branch Banking,Milimani,7382935,8028435,9861493,8333863,7995263,7402104,8377052,8257854,6458056,5497530
RM 5,Corporate Banking,Milimani,56894510,56894510,56894510,56894510,56894510,56894510,56894510,56894510,56894510,56894510
RM 5,Corporate Banking,Milimani,53559141,53559141,54466294,54066294,54068223,53894223,56294223,    ,    ,    
RM 1,Branch Banking,Milimani,53427477,53427477,53427477,53427477,53427477,53427477,55560324,55560324,55560324,55560324
RM 1,Branch Banking,Milimani,2621891,577588,420706,496683,118753,609951,179759,291814,573273,189889
RM 1,Branch Banking,Milimani,5519787,3373766,2114407,24854932,22711790,12020874,11719045,19696868,13187787,12187792
RM 1,Branch Banking,Milimani,4961031,4964562,4309664,3979364,4953146,4739424,4415411,4435994,4185100,4202249
RM 3,Branch Banking,Eldoret,60129646,60162431,60073286,60467958,60624765,60680387,61168269,61172503,60769935,61761468
RM 5,Corporate Banking,Milimani,13677240,14193777,18864678,18685903,13727438,14018462,13502173,13387339,8303674,19002651
RM 6,Institutional Banking,Milimani,57405482,57261239,57246107,57879013,59032355,59562514,58995258,58958281,59577751,59669775
RM 2,Branch Banking,Mombasa,50750669,51312161,51312161,51352841,51395775,52312880,52300039,52309973,52309973,54393166
RM 5,Corporate Banking,Milimani,84307,23041,23041,22441,21841,21841,21841,21841,21241,21241
RM 13,Branch Banking,Industrial Area,37934810,37934810,37949810,37993644,37993644,37993644,25993044,25993044,26005044,26018044
